id,type,price,a_min,a_max,search
70408,S201Μ-K32,14.10,22.5,28.5,mcb 1p k32a 15ka
70409,S201Μ-K40,14.10,28.5,36,mcb 1p k40a 15ka
70410,S201Μ-K50,23.95,36,45,mcb 1p k50a 15ka
70411,S201Μ-K63,26.75,45,56.5,mcb 1p k63a 15ka
47004,S202Μ-K1,51.00,0,0.5,mcb 2p k01a 15ka
47003,S202Μ-K2,46.50,0.5,1.5,mcb 2p k02a 15ka
47002,S202Μ-K4,46.50,1.5,3,mcb 2p k04a 15ka
47001,S202Μ-K6,32.15,3,5,mcb 2p k06a 15ka
47000,S202Μ-K10,30.17,5,8,mcb 2p k10a 15ka
46999,S202Μ-K16,30.17,8,13,mcb 2p k16a 15ka
70412,S202Μ-K20,32.46,13,18,mcb 2p k20a 15ka
70413,S202Μ-K25,32.46,18,22.5,mcb 2p k25a 15ka
70414,S202Μ-K32,36.62,22.5,28.5,mcb 2p k32a 15ka
70415,S202Μ-K40,38.18,28.5,36,mcb 2p k40a 15ka
70416,S202Μ-K50,56.28,36,45,mcb 2p k50a 15ka
70417,S202Μ-K63,58.99,45,56.5,mcb 2p k63a 15ka
70418,S203Μ-K1,80.11,0,0.5,mcb 3p k01a 15ka
70419,S203Μ-K2,66.59,0.5,1.5,mcb 3p k02a 15ka
70420,S203Μ-K4,66.59,1.5,3,mcb 3p k04a 15ka
70421,S203Μ-K6,44.53,3,5,mcb 3p k06a 15ka
70422,S203Μ-K10,39.74,5,8,mcb 3p k10a 15ka
49248,S203Μ-K16,39.74,8,13,mcb 3p k16a 15ka
40795,S203Μ-K20,41.62,13,18,mcb 3p k20a 15ka
47439,S203Μ-K25,41.62,18,22.5,mcb 3p k25a 15ka
40796,S203Μ-K32,44.64,22.5,28.5,mcb 3p k32a 15ka
49247,S203Μ-K40,47.44,28.5,36,mcb 3p k40a 15ka
42621,S203Μ-K50,75.95,36,45,mcb 3p k50a 15ka
44506,S203Μ-K63,80.73,45,56.5,mcb 3p k63a 15ka
70424,S204Μ-K1,111.84,0,0.5,mcb 4p k01a 15ka
70425,S204Μ-K2,78.35,0.5,1.5,mcb 4p k02a 15ka
70426,S204Μ-K4,78.35,1.5,3,mcb 4p k04a 15ka
70427,S204Μ-K6,73.14,3,5,mcb 4p k06a 15ka
70428,S204Μ-K10,71.17,5,8,mcb 4p k10a 15ka
70429,S204Μ-K16,71.17,8,13,mcb 4p k16a 15ka
70430,S204Μ-K20,71.17,13,18,mcb 4p k20a 15ka
70431,S204Μ-K25,71.17,18,22.5,mcb 4p k25a 15ka
70432,S204Μ-K32,72.31,22.5,28.5,mcb 4p k32a 15ka
70433,S204Μ-K40,87.08,28.5,36,mcb 4p k40a 15ka
70434,S204Μ-K50,94.99,36,45,mcb 4p k50a 15ka
70435,S204Μ-K63,97.70,45,56.5,mcb 4p k63a 15ka
70461,S801B-C80,49.74,56.5,71.5,mcb 1p c80a 16ka
70462,S801B-C100,52.96,71.5,90,mcb 1p c100a 16ka
